  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:00 [migration/0]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:00 [rcu_sched]
   10 ?        S<     0:00 [lru-add-drain]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [watchdog/1]
   13 ?        S      0:00 [migration/1]
   14 ?        S      0:00 [ksoftirqd/1]
   16 ?        S<     0:00 [kworker/1:0H]
   17 ?        S      0:00 [watchdog/2]
   18 ?        S      0:00 [migration/2]
   19 ?        S      0:00 [ksoftirqd/2]
   21 ?        S<     0:00 [kworker/2:0H]
   22 ?        S      0:00 [watchdog/3]
   23 ?        S      0:00 [migration/3]
   24 ?        S      0:00 [ksoftirqd/3]
   26 ?        S<     0:00 [kworker/3:0H]
   28 ?        S      0:00 [kdevtmpfs]
   29 ?        S<     0:00 [netns]
   30 ?        S      0:00 [khungtaskd]
   31 ?        S<     0:00 [writeback]
   32 ?        S<     0:00 [kintegrityd]
   33 ?        S<     0:00 [bioset]
   34 ?        S<     0:00 [bioset]
   35 ?        S<     0:00 [bioset]
   36 ?        S<     0:00 [kblockd]
   37 ?        S<     0:00 [md]
   38 ?        S<     0:00 [edac-poller]
   39 ?        S      0:00 [kworker/3:1]
   44 ?        S      0:00 [kswapd0]
   45 ?        SN     0:00 [ksmd]
   46 ?        SN     0:00 [khugepaged]
   47 ?        S<     0:00 [crypto]
   55 ?        S<     0:00 [kthrotld]
   56 ?        S      0:00 [kworker/u128:1]
   57 ?        S<     0:00 [kmpath_rdacd]
   58 ?        S<     0:00 [kaluad]
   60 ?        S<     0:00 [kpsmoused]
   61 ?        S<     0:00 [ipv6_addrconf]
   62 ?        S      0:03 [kworker/0:2]
   75 ?        S<     0:00 [deferwq]
  109 ?        S      0:00 [kauditd]
  295 ?        S<     0:00 [ata_sff]
  300 ?        S      0:00 [scsi_eh_0]
  301 ?        S<     0:00 [scsi_tmf_0]
  302 ?        S      0:00 [scsi_eh_1]
  303 ?        S<     0:00 [scsi_tmf_1]
  305 ?        S      0:00 [kworker/u128:3]
  306 ?        S<     0:00 [virtscsi-scan]
  307 ?        S      0:00 [scsi_eh_2]
  308 ?        S<     0:00 [scsi_tmf_2]
  318 ?        S<     0:00 [kworker/0:1H]
  379 ?        S<     0:00 [kdmflush]
  380 ?        S<     0:00 [bioset]
  391 ?        S<     0:00 [kdmflush]
