  PID TTY          TIME CMD
    1 ?        00:00:01 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:00 migration/0
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:00 rcu_sched
   10 ?        00:00:00 lru-add-drain
   11 ?        00:00:00 watchdog/0
   12 ?        00:00:00 watchdog/1
   13 ?        00:00:00 migration/1
   14 ?        00:00:00 ksoftirqd/1
   16 ?        00:00:00 kworker/1:0H
   17 ?        00:00:00 watchdog/2
   18 ?        00:00:00 migration/2
   19 ?        00:00:00 ksoftirqd/2
   21 ?        00:00:00 kworker/2:0H
   22 ?        00:00:00 watchdog/3
   23 ?        00:00:00 migration/3
   24 ?        00:00:00 ksoftirqd/3
   26 ?        00:00:00 kworker/3:0H
   28 ?        00:00:00 kdevtmpfs
   29 ?        00:00:00 netns
   30 ?        00:00:00 khungtaskd
   31 ?        00:00:00 writeback
   32 ?        00:00:00 kintegrityd
   33 ?        00:00:00 bioset
   34 ?        00:00:00 bioset
   35 ?        00:00:00 bioset
   36 ?        00:00:00 kblockd
   37 ?        00:00:00 md
   38 ?        00:00:00 edac-poller
   39 ?        00:00:00 kworker/3:1
   44 ?        00:00:00 kswapd0
   45 ?        00:00:00 ksmd
   46 ?        00:00:00 khugepaged
   47 ?        00:00:00 crypto
   55 ?        00:00:00 kthrotld
   56 ?        00:00:00 kworker/u128:1
   57 ?        00:00:00 kmpath_rdacd
   58 ?        00:00:00 kaluad
   60 ?        00:00:00 kpsmoused
   61 ?        00:00:00 ipv6_addrconf
   62 ?        00:00:03 kworker/0:2
   75 ?        00:00:00 deferwq
  109 ?        00:00:00 kauditd
  295 ?        00:00:00 ata_sff
  300 ?        00:00:00 scsi_eh_0
  301 ?        00:00:00 scsi_tmf_0
  302 ?        00:00:00 scsi_eh_1
  303 ?        00:00:00 scsi_tmf_1
  305 ?        00:00:00 kworker/u128:3
  306 ?        00:00:00 virtscsi-scan
  307 ?        00:00:00 scsi_eh_2
  308 ?        00:00:00 scsi_tmf_2
  318 ?        00:00:00 kworker/0:1H
  379 ?        00:00:00 kdmflush
  380 ?        00:00:00 bioset
  391 ?        00:00:00 kdmflush
  392 ?        00:00:00 bioset
  404 ?        00:00:00 bioset
  405 ?        00:00:00 xfsalloc
  406 ?        00:00:00 xfs_mru_cache
  407 ?        00:00:00 xfs-buf/dm-0
  408 ?        00:00:00 xfs-data/dm-0
  409 ?        00:00:00 xfs-conv/dm-0
  410 ?        00:00:00 xfs-cil/dm-0
  411 ?        00:00:00 xfs-reclaim/dm-
  412 ?        00:00:00 xfs-log/dm-0
  413 ?        00:00:00 xfs-eofblocks/d
  414 ?        00:00:01 xfsaild/dm-0
  470 ?        00:00:00 kworker/2:1H
  471 ?        00:00:00 kworker/1:1H
  485 ?        00:00:00 systemd-journal
  509 ?        00:00:00 lvmetad
  517 ?        00:00:00 systemd-udevd
  541 ?        00:00:00 hwrng
  598 ?        00:00:00 xfs-buf/sda1
  599 ?        00:00:00 xfs-data/sda1
  600 ?        00:00:00 xfs-conv/sda1
  601 ?        00:00:00 xfs-cil/sda1
  602 ?        00:00:00 xfs-reclaim/sda
  603 ?        00:00:00 xfs-log/sda1
  604 ?        00:00:00 xfs-eofblocks/s
  605 ?        00:00:00 xfsaild/sda1
  612 ?        00:00:00 ttm_swap
  634 ?        00:00:00 auditd
  657 ?        00:00:00 dbus-daemon
  659 ?        00:00:00 irqbalance
  660 ?        00:00:00 qemu-ga
  661 ?        00:00:00 polkitd
  665 ?        00:00:00 systemd-logind
  674 ?        00:00:00 crond
  679 ?        00:00:20 python
  680 ?        00:00:00 kworker/1:2
  684 tty1     00:00:00 agetty
  691 ?        00:00:00 firewalld
  702 ?        00:00:00 NetworkManager
  842 ?        00:00:00 dhclient
 1028 ?        00:00:00 sshd
 1029 ?        00:00:00 tuned
 1031 ?        00:00:00 rsyslogd
 1378 ?        00:00:00 master
 1391 ?        00:00:00 qmgr
 1448 ?        00:00:00 kworker/3:1H
 1481 ?        00:00:00 sshd
 1485 ?        00:00:02 sshd
 1486 pts/0    00:00:00 bash
 1742 ?        00:00:00 kworker/0:1
 3066 ?        00:00:00 kworker/1:0
 3242 ?        00:00:00 kworker/2:0
 3451 ?        00:00:00 pickup
 3459 ?        00:00:00 kworker/2:2
 3461 ?        00:00:00 kworker/3:2
 3515 ?        00:00:00 kworker/3:0
 3525 ?        00:00:00 kworker/2:1
 3566 pts/0    00:00:00 ps
